Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Fix versions,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
CREATE DASHBOARD/HOMEPAGE,E3-1,10079,Epic,To Do,E3,EXERCISE_3,software,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,,Highest,,dipanshusehgal88,712020:101c3447-fe7e-4196-a8c9-1d57e0172e2e,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,01/Apr/26 12:32 PM,01/Apr/26 12:35 PM,01/Apr/26 12:35 PM,,RELEASE_3,15/Apr/26 12:00 AM,0,,,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,,,,,,,,,01/Apr/26 12:31 PM;8480ff7c-4461-442a-92eb-8a4d30801ad7;Chandigarh-M1 Results.xlsx;https://alamcse18.atlassian.net/rest/api/3/attachment/content/10039,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@78a36f7c,,,,,ghx-label-13,,To Do,,,,dark_green,,,,,0|i0007j:,,,E3 Sprint 1,01/Apr/26 12:00 AM,,,,,,,,,,,,,,To Do,01/Apr/26 12:32 PM
AS A USER I SHOULD BE ABLE TO NAVIGATE AND ACCESSHEADER PAGE,E3-2,10080,Story,To Do,E3,EXERCISE_3,software,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,,Medium,,,,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,01/Apr/26 12:34 PM,01/Apr/26 12:44 PM,02/Apr/26 11:25 AM,,,,0,,,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@53e87291,,,,,,,,,,,,,,,,0|i0007r:,,,E3 Sprint 1,,,,,,,,,,,,10079,E3-1,CREATE DASHBOARD/HOMEPAGE,To Do,01/Apr/26 12:34 PM
AS A USER I SHOULD HAVE A PROFILE PAGE,E3-3,10081,Story,To Do,E3,EXERCISE_3,software,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,,Medium,,,,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,01/Apr/26 12:34 PM,01/Apr/26 12:34 PM,,,,,0,,,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@68c3f3c1,,,,,,,,,,,,,,,,0|i0007z:,,,E3 Sprint 1,,,,,,,,,,,,10079,E3-1,CREATE DASHBOARD/HOMEPAGE,To Do,01/Apr/26 12:34 PM
WRITE TEST CASES FOR DASHBOARD,E3-4,10082,Task,To Do,E3,EXERCISE_3,software,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,,Highest,,dipanshusehgal88,712020:101c3447-fe7e-4196-a8c9-1d57e0172e2e,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,01/Apr/26 12:36 PM,02/Apr/26 10:49 AM,02/Apr/26 10:32 AM,,RELEASE_3,01/Apr/26 12:00 AM,0,,,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2a17de6c,,,,,,,,,,,,,,,,0|i00087:,,,E3 Sprint 1,01/Apr/26 12:00 AM,,,,,,,,,,,10079,E3-1,CREATE DASHBOARD/HOMEPAGE,To Do,01/Apr/26 12:36 PM
WRITE FT FOR NAVIGATION MODULE,E3-5,10084,Sub-task,To Do,E3,EXERCISE_3,software,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,,Medium,,,,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,01/Apr/26 12:36 PM,02/Apr/26 10:37 AM,02/Apr/26 10:35 AM,,,,0,,,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@49ac8cdd,,,,,,,,,,,,,,,,0|i0008f:,,,E3 Sprint 1,,,,,,,,,,,,10082,E3-4,WRITE TEST CASES FOR DASHBOARD,To Do,01/Apr/26 12:36 PM
WRITE FT TEST CASES FOR HEADER SECTION,E3-6,10086,Sub-task,To Do,E3,EXERCISE_3,software,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,,Medium,,,,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,01/Apr/26 12:37 PM,02/Apr/26 10:38 AM,,,,,0,,,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@59c00383,,,,,,,,,,,,,,,,0|i0008n:,,,E3 Sprint 1,,,,,,,,,,,,10082,E3-4,WRITE TEST CASES FOR DASHBOARD,To Do,01/Apr/26 12:37 PM
WRITE FT FOR PROFILE MANAGEMENT PAGE,E3-7,10120,Sub-task,To Do,E3,EXERCISE_3,software,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,,Medium,,,,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,02/Apr/26 10:38 AM,02/Apr/26 10:38 AM,,,,,0,,,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2e6aae81,,,,,,,,,,,,,,,,0|i0008v:,,,E3 Sprint 1,,,,,,,,,,,,10082,E3-4,WRITE TEST CASES FOR DASHBOARD,To Do,02/Apr/26 10:38 AM
USER MANAGEMENT,E3-8,10121,Epic,To Do,E3,EXERCISE_3,software,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,,Highest,,,,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,02/Apr/26 10:42 AM,02/Apr/26 10:42 AM,02/Apr/26 10:57 AM,,RELEASE_3,15/Apr/26 12:00 AM,0,,,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3a1ae19e,,,,,ghx-label-8,,To Do,,,,dark_purple,,,,,0|i00093:,,,E3 Sprint 1,02/Apr/26 12:00 AM,,,,,,,,,,,,,,To Do,02/Apr/26 10:42 AM
AS A USER I SHOULD BE ABLE TO SIGN UP / REGISTER,E3-9,10122,Story,To Do,E3,EXERCISE_3,software,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,,Highest,,,,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,02/Apr/26 10:43 AM,02/Apr/26 11:26 AM,02/Apr/26 10:57 AM,,RELEASE_3,09/Apr/26 12:00 AM,0,,,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4e788d03,,,,,,,,,,,,,,,,0|i0009b:,,,E3 Sprint 1,02/Apr/26 12:00 AM,,,,,,,,,,,10121,E3-8,USER MANAGEMENT,To Do,02/Apr/26 10:43 AM
WRITE TEST CASES FOR SOCIAL LOGIN,E3-10,10124,Story,To Do,E3,EXERCISE_3,software,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,,Highest,,,,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,02/Apr/26 10:45 AM,02/Apr/26 10:45 AM,02/Apr/26 10:57 AM,,RELEASE_3,08/Apr/26 12:00 AM,0,,,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@359d3ceb,,,,,,,,,,,,,,,,0|i0009j:,,,E3 Sprint 1,02/Apr/26 12:00 AM,,,,,,,,,,,10121,E3-8,USER MANAGEMENT,To Do,02/Apr/26 10:45 AM
WRITE TEST CASES FOR SOCIAL OPTIONS,E3-18,10139,Sub-task,To Do,E3,EXERCISE_3,software,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,,Medium,,,,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,02/Apr/26 10:58 AM,02/Apr/26 10:58 AM,,,,,0,,,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@e8e41ea,,,,,,,,,,,,,,,,0|i000bb:,,,E3 Sprint 1,,,,,,,,,,,,10124,E3-10,WRITE TEST CASES FOR SOCIAL LOGIN,To Do,02/Apr/26 10:58 AM
WRITE TEST CASES FOR LOGIN AUTHENTICATION,E3-19,10141,Sub-task,To Do,E3,EXERCISE_3,software,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,,Medium,,,,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,02/Apr/26 10:58 AM,02/Apr/26 10:58 AM,,,,,0,,,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2e41e97d,,,,,,,,,,,,,,,,0|i000bj:,,,E3 Sprint 1,,,,,,,,,,,,10124,E3-10,WRITE TEST CASES FOR SOCIAL LOGIN,To Do,02/Apr/26 10:58 AM
WRITE TEST CASES FOR FAKE LOGIN DETECTION,E3-20,10143,Sub-task,To Do,E3,EXERCISE_3,software,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,,Medium,,,,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,02/Apr/26 10:59 AM,02/Apr/26 10:59 AM,,,,,0,,,Tauhid Alam,712020:fc05cd48-cc4f-4e70-9c6e-ac9bd5b56b7f,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@17fd4864,,,,,,,,,,,,,,,,0|i000br:,,,E3 Sprint 1,,,,,,,,,,,,10124,E3-10,WRITE TEST CASES FOR SOCIAL LOGIN,To Do,02/Apr/26 10:59 AM
